,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-07-06,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.72,6.68,-0.1437
1,2023-07-06,CHN,China Fund,Equity-Asia Equity,10.8,12.7,-0.1496
2,2023-07-06,IFN,The India Fund Inc,Equity-Asia Equity,16.36,16.75,-0.0233
3,2023-07-06,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.13,8.54,-0.16510000000000002
4,2023-07-06,KF,Korea Fund,Equity-Asia Equity,22.39,26.44,-0.1532
5,2023-07-06,IIF,Morgan Stanley India Investment,Equity-Asia Equity,21.64,26.64,-0.1877
6,2023-07-06,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.51,15.51,-0.1934
7,2023-07-06,TWN,Taiwan Fund,Equity-Asia Equity,31.37,38.81,-0.1917
8,2023-07-06,TDF,Templeton Dragon,Equity-Asia Equity,8.96,10.55,-0.1507
9,2023-07-06,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,5.94,6.93,-0.1429
10,2023-07-06,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,17.88,18.8,-0.0489
11,2023-07-06,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,14.85,15.11,-0.0172
12,2023-07-06,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,7.76,8.0,-0.03
13,2023-07-06,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,10.8,10.9,-0.0092
14,2023-07-06,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,13.95,15.62,-0.1069
15,2023-07-06,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.04,14.01,-0.1406
16,2023-07-06,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.26,9.66,-0.1449
17,2023-07-06,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.17,5.77,-0.10400000000000001
18,2023-07-06,MCN,Madison Covered Call &amp; Eq Strat,Equity-Covered-Call Funds,7.45,7.15,0.042
19,2023-07-06,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,Equity-Covered-Call Funds,24.74,24.18,0.0232
20,2023-07-06,BXMX,Nuveen S&amp;P 500 Buy-Write Income,Equity-Covered-Call Funds,13.49,13.71,-0.016
21,2023-07-06,SPXX,Nuveen S&amp;P 500 Dynamic Overwrite,Equity-Covered-Call Funds,15.54,16.12,-0.036000000000000004
22,2023-07-06,FFA,First Trust Enhanced Equity Income,Equity-Covered-Call Funds,17.53,17.99,-0.0256
23,2023-07-06,GNT,"GAMCO Natural Resources, Gold &amp; Inc Tr",Equity-Covered-Call Funds,4.93,5.93,-0.1686
