,Ticker,Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,CategoryName,SponsorId,SponsorName,IsManagedDistribution,Price,PriceChange,NAV,NAVPublished,Cusip,Name,LastUpdated,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-8.9,11.3,12.41,0.0275,6.16,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,2.66,-0.04,2.92,2024-06-21T00:00:00,3009107,abrdn Asia-Pacific Income Fund Inc,2024-06-21T00:00:00,XFAPX,Fixed Income - Taxable-Global Income,35.09,658.871,,Monthly,0.08349,0.0275,10,6.4623,,,3.33,,1114.272,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-5.93,-4.94,-1.15,1.32,-0.71,2.96,,,9.97,7973120,,,,,,,2.64809,-11.921,1.63,1.12,1.45,2024-06-21T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2024-06-21T00:00:00
1,IAF,-11.36,9.92,11.19,0.12,15.18,9,Morningstar US CEF Single Country Equity,1,abrdn Inc.,TRUE,4.29,-0.01,4.84,2024-06-21T00:00:00,3011103,abrdn Australia Equity Fund Inc,2024-06-21T00:00:00,XIAFX,Equity-Single-Country Equity,6.87,114.188,,Quarterly,0.04579,0.12,10.125,,,,2.03,,138.324,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.19,-2.53,7.65,7.56,0.72,2.66,,,15.29,637190,,,,,,,4.15971,-11.62707,0.16,-0.34,0.46,2024-06-21T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2024-05-22T00:00:00
2,AEF,-14.32,6.55,7.64,0.1,10.09,4,Morningstar US CEF Emerging Market Equity,1,abrdn Inc.,TRUE,5.235,-0.05,6.11,2024-06-21T00:00:00,00301W105,abrdn Emerging Markets Equity Inc,2024-06-21T00:00:00,XAEFX,Equity-Emerging Market Equity,10.14,265.686,,Quarterly,-0.00055,0.1,15,,,,2.14,,345.093,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-10.17,-10.27,0.05,-0.39,2.36,2.4,,,10.99,808740,,,,,,,5.02247,-14.79713,0.53,0.76,0.73,2024-06-21T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2024-06-21T00:00:00
3,AGD,-14.23,6.94,8.09,0.065,13.96,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,9.64,-0.02,11.24,2024-06-21T00:00:00,00302M106,abrdn Global Dynamic Dividend,2024-06-21T00:00:00,XAGDX,Equity-Global Equity,0.55,239.699,,Monthly,0.30543,0.065,20,,,,1.19,,281.02,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,1.71,0.16,9.32,9.82,4.94,5.7,,,13.77,604470,,,,,,,9.29445,-14.26105,0.03,0.17,0.45,2024-06-21T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2024-06-21T00:00:00
4,FCO,58.9,23.01,14.48,0.07,14.35,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,5.8,-0.15,3.65,2024-06-21T00:00:00,3013109,"abrdn Global Income Fund, Inc.",2024-06-21T00:00:00,XFCOX,Fixed Income - Taxable-Global Income,29.37,77.78,,Monthly,0.09311,0.07,15,6.6047,,,4.53,,69.298,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,-1.21,-1.28,1.23,6.61,2.87,-8.96,,,21.4,630510,,,,,,,5.80517,48.63944,1.17,1.56,1.54,2024-06-21T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2024-06-21T00:00:00
5,ASGI,-7.81,12.66,13.73,0.21,12.97,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,18.3551,-0.19,19.91,2024-06-21T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2024-06-21T00:00:00,XAGIX,Fixed Income - Taxable-Global Income,0,462.67,,Monthly,0.05707,0.21,20,,,,1.65,,501.864,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,3.84,4.34,,,4.3,9.36,,,21.5,711080,,,,,,,17.42031,-13.95255,3,1.64,2.36,2024-06-21T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2024-06-21T00:00:00
6,AWP,-1.05,12.63,12.77,0.04,7.48,7,Morningstar US CEF Real Estate,1,abrdn Inc.,TRUE,3.76,-0.05,3.8,2024-06-21T00:00:00,00302L108,abrdn Global Premier Properties,2024-06-21T00:00:00,XAWPX,Equity-Real Estate,19.74,321.134,,Monthly,0.02592,0.04,20,,,,2.22,,404.36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,-7.68,-7.77,-1.33,0.8,-5.11,1.93,,,14.84,3130150,,,,,,,3.76775,-5.95498,1.87,1.37,1.66,2024-06-21T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2024-06-21T00:00:00
7,ACP,2.26,18.05,17.65,0.1,16.98,19,Morningstar US CEF Senior Loans,1,abrdn Inc.,TRUE,6.8,-0.12,6.65,2024-06-21T00:00:00,3057106,abrdn Income Credit Strategies Fund,2024-06-21T00:00:00,XACPX,Fixed Income - Taxable-Senior Loans,28.87,365.228,,Monthly,0.20225,0.1,20,7.8363,,,4.56,,502.171,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-2.63,-2.68,1.5,2.73,2.6,6.05,,,20.44,3196300,,,94.6703,,4.1,2.92,6.69943,-2.34505,1.45,1.73,2.36,2024-06-21T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2024-06-21T00:00:00
8,JEQ,-17.3,7.04,8.51,0.12,14.43,1,Morningstar US CEF Asia Equity,1,abrdn Inc.,TRUE,5.64,-0.06,6.82,2024-06-21T00:00:00,00306J109,abrdn Japan Equity Fund,2024-06-21T00:00:00,XJEQX,Equity-Asia Equity,9.61,78.105,,Quarterly,0.01775,0.12,10,,,,1.27,,104.482,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,-3.6,-3.4,4.43,4.9,7.23,7.64,,,15.23,289900,,,,,,,5.77636,-15.30748,-1.45,-1.46,-1.83,2024-06-21T00:00:00,1992-07-24T00:00:00,7/24/1992,711936000,2024-05-22T00:00:00
9,VFL,-13.61,4.48,5.19,0.045,5.08,21,Morningstar US CEF Municipal,1,abrdn Inc.,TRUE,10.41,-0.06,12.05,2024-06-21T00:00:00,24610T108,abrdn National Municipal Income Fund,2024-06-21T00:00:00,XVFLX,Fixed Income - Municipal-Municipal,40.09,127.814,,Monthly,0.23791,0.045,15,4.7935,,,4.11,,246.95,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-4.75,-5.94,-0.51,-1.05,-2.39,-0.37,,,3.59,362970,,,92.1362,,18.47,10.91,9.76792,-15.2372,1.42,1.12,1.52,2024-06-21T00:00:00,1993-02-26T00:00:00,2/26/1993,730684800,2024-06-21T00:00:00
