,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-07-11,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.86,6.81,-0.13949999999999999
1,2023-07-11,CHN,China Fund,Equity-Asia Equity,11.04,13.06,-0.1547
2,2023-07-11,IFN,The India Fund Inc,Equity-Asia Equity,16.45,16.77,-0.019100000000000002
3,2023-07-11,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.26,8.69,-0.1646
4,2023-07-11,KF,Korea Fund,Equity-Asia Equity,22.79,26.82,-0.1503
5,2023-07-11,IIF,Morgan Stanley India Investment,Equity-Asia Equity,21.75,26.75,-0.1869
6,2023-07-11,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.63,15.72,-0.1966
7,2023-07-11,TWN,Taiwan Fund,Equity-Asia Equity,31.94,38.96,-0.1802
8,2023-07-11,TDF,Templeton Dragon,Equity-Asia Equity,9.21,10.81,-0.14800000000000002
9,2023-07-11,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,6.06,7.04,-0.1392
10,2023-07-11,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.03,19.04,-0.053
11,2023-07-11,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,15.03,15.28,-0.0164
12,2023-07-11,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,7.91,8.14,-0.028300000000000002
13,2023-07-11,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,10.9,11.08,-0.016200000000000003
14,2023-07-11,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,14.15,15.76,-0.10220000000000001
15,2023-07-11,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.32,14.33,-0.14029999999999998
16,2023-07-11,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.38,9.68,-0.1343
17,2023-07-11,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.11,5.8,-0.11900000000000001
18,2023-07-11,MCN,Madison Covered Call &amp; Eq Strat,Equity-Covered-Call Funds,7.6,7.29,0.0425
19,2023-07-11,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,Equity-Covered-Call Funds,24.64,24.14,0.0207
20,2023-07-11,BXMX,Nuveen S&amp;P 500 Buy-Write Income,Equity-Covered-Call Funds,13.51,13.75,-0.0175
21,2023-07-11,SPXX,Nuveen S&amp;P 500 Dynamic Overwrite,Equity-Covered-Call Funds,15.63,16.21,-0.0358
22,2023-07-11,FFA,First Trust Enhanced Equity Income,Equity-Covered-Call Funds,17.54,18.08,-0.029900000000000003
23,2023-07-11,GNT,"GAMCO Natural Resources, Gold &amp; Inc Tr",Equity-Covered-Call Funds,5.05,6.09,-0.17079999999999998
24,2023-07-11,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,29.9,27.82,0.0748
25,2023-07-11,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.55,16.48,0.0042
26,2023-07-11,EOS,Eaton Vance Enhanced Equity Income II,Equity-Covered-Call Funds,18.06,18.49,-0.0233
27,2023-07-11,ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Equity-Covered-Call Funds,12.28,12.36,-0.006500000000000001
28,2023-07-11,ETB,Eaton Vance Tax-Managed Buy-Write Income,Equity-Covered-Call Funds,13.86,14.22,-0.025300000000000003
29,2023-07-11,ETV,Eaton Vance Tax-Managed Buy-Write Opp,Equity-Covered-Call Funds,13.05,13.2,-0.0114
30,2023-07-11,ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Equity-Covered-Call Funds,8.21,9.01,-0.0888
31,2023-07-11,EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Equity-Covered-Call Funds,7.88,8.63,-0.08689999999999999
32,2023-07-11,ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Equity-Covered-Call Funds,8.31,8.52,-0.0246
33,2023-07-11,BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,10.05,11.47,-0.12380000000000001
34,2023-07-11,BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,8.34,8.81,-0.0533
35,2023-07-11,BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,5.43,6.14,-0.11560000000000001
