,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,IFN,-0.0697,12.35154,13.2766,0.38999999999999996,-15.27,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.75,0.21,12.63,2026-06-30T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-06-30,XIFNX,Equity-Asia Equity,0.28,501.16,,Quarterly,-0.05353,0.38999999999999996,15.0,,,,1.36,,538.694,True,False,False,False,True,False,,3.7199999999999998,1.3,2.35,2.79,-9.34,-8.44,,,-16.99,2112140,,,,,,,13.70307,-5.68052,-0.71,0.01,-0.71,2026-06-30T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
1,MMT,-0.1002,8.0589,8.95636,0.03284,5.35,13,Morningstar US CEF Global Income,71,MFS,True,4.4,-0.02,4.89,2026-06-30T00:00:00,552737108,Aberdeen Multi-Market Income,2026-06-30,XMMTX,Fixed Income - Taxable-Global Income,26.55,510.371,,Monthly,0.13822,0.03284,10.0,5.7198,,,2.86,,772.208,True,False,False,False,True,False,,7.97,8.18,3.09,1.63,1.02,-1.16,,,2.08,978360,,,97.5435,,6.83,,4.65029,-7.32412,-3.09,-2.08,-2.56,2026-06-30T00:00:00,1987-03-12T00:00:00,3/12/1987,542505600,2026-06-08T00:00:00
2,MFM,-0.0741,5.93081,6.40569,0.03,9.97,21,Morningstar US CEF Municipal,2,abrdn Inc.,False,5.62,0.0,6.07,2026-06-30T00:00:00,552738106,Aberdeen Municipal Income,2026-06-30,XMFMX,Fixed Income - Municipal-Municipal,32.58,429.401,,Monthly,0.13078,0.03,10.0,5.1532,,,2.83,,687.884,True,True,True,False,False,False,,5.27,8.48,-0.23,-0.12,3.91,6.38,,,14.82,1323120,19.0,,96.6202,,12.56,9.02,5.36214,-9.67159,2.43,1.96,1.9,2026-06-30T00:00:00,1986-11-25T00:00:00,11/25/1986,533260800,2026-06-23T00:00:00
3,FAX,-0.0354,12.98361,13.46023,0.16499999999999998,2.59,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.71,0.07,15.25,2026-06-30T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-06-30,XFAPX,Fixed Income - Taxable-Global Income,39.94,642.405,,Monthly,0.50096,0.16499999999999998,10.0,6.3746,,,4.22,,1108.787,True,False,True,False,True,False,,4.84,9.79,-1.46,-0.03,-1.09,2.37,,,5.01,1816300,,,,,7.54,4.73,15.47467,-5.16897,0.86,2.26,1.63,2026-06-30T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-06-23T00:00:00
4,IAF,-0.11130000000000001,10.3374,11.63166,0.36,1.94,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.38,0.1,13.93,2026-06-30T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-06-30,XIAFX,Equity-Single-Country Equity,6.85,118.63,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,143.302,True,False,False,False,True,False,,9.32,10.12,4.4,2.02,2.47,1.08,,,2.95,221460,,,,,,,13.20334,-9.944230000000001,-0.84,-0.13,-0.72,2026-06-30T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
5,AEF,-0.09939999999999999,8.63039,9.58333,0.22999999999999998,76.87,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,9.6,0.1,10.66,2026-06-30T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-06-30,XAEFX,Equity-Emerging Market Equity,5.87,389.774,,Quarterly,0.00111,0.22999999999999998,15.0,,,,1.8599999999999999,,459.811,True,True,False,False,True,False,,31.14,34.4,9.01,10.2,46.44,44.52,,,79.38,1527350,,,,,,,7.46176,-9.52635,-0.29,-0.58,-0.54,2026-06-30T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-06-23T00:00:00
6,AGD,0.011699999999999999,12.03008,11.891,0.12,21.15,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.11,-0.01,11.97,2026-06-30T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-06-30,XAGDX,Equity-Global Equity,1.58,316.298,,Monthly,0.41014,0.12,20.0,,,,1.29,,317.667,True,True,False,False,True,False,,14.04,20.8,7.42,10.29,9.29,10.28,,,23.48,1202480,,,,,,,11.97444,2.06696,-0.21,0.44,0.06,2026-06-30T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-06-23T00:00:00
7,ASGI,0.0501,12.46612,11.87097,0.22999999999999998,17.57,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,23.25,0.22,22.14,2026-06-30T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-06-30,XAGIX,Fixed Income - Taxable-Global Income,0.98,735.371,,Monthly,0.08556,0.22999999999999998,20.0,,,,2.16,,707.172,True,True,True,False,True,False,,13.41,22.71,8.61,12.22,10.21,10.43,,,28.63,1734820,,,,,,,22.21402,1.6649,1.06,0.59,0.61,2026-06-30T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-06-23T00:00:00
8,AWP,0.0128,12.31822,12.16216,0.12,14.86,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,11.84,-0.09,11.69,2026-06-30T00:00:00,00302L207,abrdn Global Premier Properties,2026-06-30,XAWPX,Equity-Real Estate,7.92,362.654,,Monthly,0.02621,0.12,20.0,,,,2.27,,388.862,True,True,False,False,True,False,,10.3,13.45,0.06,1.8,10.23,9.33,,,12.82,1207490,,,,,,,11.76495,1.34272,-0.05,1.24,0.54,2026-06-30T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-06-23T00:00:00
9,HQH,-0.0643,10.3874,11.101,0.61,54.77,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,21.98,0.01,23.49,2026-06-30T00:00:00,87911J103,abrdn Healthcare Investors,2026-06-30,XHQHX,Equity-Sector Equity,1.1,1274.632,,Quarterly,-0.06102,0.61,10.0,,,,1.11,,1362.198,True,True,True,False,True,False,,18.02,23.0,8.21,7.97,20.37,23.48,,,60.47,1781720,,,,,,,18.44904,-7.7325800000000005,0.63,-0.44,0.09,2026-06-30T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-05-21T00:00:00
