,Ticker,Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,CategoryName,SponsorId,SponsorName,IsManagedDistribution,Price,PriceChange,NAV,NAVPublished,Cusip,Name,LastUpdated,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-8.47,11.19,12.22,0.0275,6.16,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,2.7,-0.02,2.95,2024-06-20T00:00:00,3009107,abrdn Asia-Pacific Income Fund Inc,2024-06-20T00:00:00,XFAPX,Fixed Income - Taxable-Global Income,34.86,668.779,,Monthly,0.08349,0.0275,10,6.4623,,,3.33,,1121.703,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-5.93,-4.94,-1.15,1.32,-0.71,2.96,,,9.97,7977400,,,,,,,2.64836,-11.9379,1.88,1.4,1.76,2024-06-20T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2024-06-21T00:00:00
1,IAF,-11.44,9.9,11.18,0.12,15.18,9,Morningstar US CEF Single Country Equity,1,abrdn Inc.,TRUE,4.295,0.01,4.85,2024-06-20T00:00:00,3011103,abrdn Australia Equity Fund Inc,2024-06-20T00:00:00,XIAFX,Equity-Single-Country Equity,6.85,114.321,,Quarterly,0.04579,0.12,10.125,,,,2.03,,138.59,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.19,-2.53,7.65,7.56,0.72,2.66,,,15.29,637540,,,,,,,4.16006,-11.62764,0.11,-0.37,0.41,2024-06-20T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2024-05-22T00:00:00
2,AEF,-15.25,6.42,7.58,0.1,10.09,4,Morningstar US CEF Emerging Market Equity,1,abrdn Inc.,TRUE,5.28,-0.03,6.23,2024-06-20T00:00:00,00301W105,abrdn Emerging Markets Equity Inc,2024-06-20T00:00:00,XAEFX,Equity-Emerging Market Equity,9.97,267.969,,Quarterly,-0.00055,0.1,15,,,,2.14,,351.184,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,-10.17,-10.27,0.05,-0.39,2.36,2.4,,,10.99,806960,,,,,,,5.02298,-14.79195,-0.5,-0.54,-0.74,2024-06-20T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2024-06-21T00:00:00
3,AGD,-14.81,6.88,8.07,0.065,13.96,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,9.66,-0.07,11.34,2024-06-20T00:00:00,00302M106,abrdn Global Dynamic Dividend,2024-06-20T00:00:00,XAGDX,Equity-Global Equity,0.54,240.197,,Monthly,0.30543,0.065,20,,,,1.19,,283.507,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,1.71,0.16,9.32,9.82,4.94,5.7,,,13.77,606460,,,,,,,9.29387,-14.2573,-0.7,-1.23,-0.67,2024-06-20T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2024-06-21T00:00:00
4,FCO,59.95,22.58,14.12,0.07,14.35,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,5.95,-0.01,3.72,2024-06-20T00:00:00,3013109,"abrdn Global Income Fund, Inc.",2024-06-20T00:00:00,XFCOX,Fixed Income - Taxable-Global Income,28.97,79.791,,Monthly,0.09311,0.07,15,6.6047,,,4.53,,70.236,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-1.21,-1.28,1.23,6.61,2.87,-8.96,,,21.4,632210,,,,,,,5.80475,48.55374,1.3,1.77,1.65,2024-06-20T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2024-06-21T00:00:00
5,ASGI,-7.99,12.5,13.58,0.21,12.97,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,18.55,0.2,20.16,2024-06-20T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2024-06-20T00:00:00,XAGIX,Fixed Income - Taxable-Global Income,0,467.583,,Monthly,0.05707,0.21,20,,,,1.65,,508.165,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,3.84,4.34,,,4.3,9.36,,,21.5,710290,,,,,,,17.41858,-13.98001,2.98,1.64,2.34,2024-06-20T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2024-06-21T00:00:00
6,AWP,-1.04,12.47,12.6,0.04,7.48,7,Morningstar US CEF Real Estate,1,abrdn Inc.,TRUE,3.81,-0.02,3.85,2024-06-20T00:00:00,00302L108,abrdn Global Premier Properties,2024-06-20T00:00:00,XAWPX,Equity-Real Estate,19.53,325.404,,Monthly,0.02592,0.04,20,,,,2.22,,408.631,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-7.68,-7.77,-1.33,0.8,-5.11,1.93,,,14.84,3147450,,,,,,,3.76828,-5.97738,1.89,1.41,1.7,2024-06-20T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2024-06-21T00:00:00
7,ACP,2.67,17.8,17.34,0.1,16.98,19,Morningstar US CEF Senior Loans,1,abrdn Inc.,TRUE,6.92,0.04,6.74,2024-06-20T00:00:00,3057106,abrdn Income Credit Strategies Fund,2024-06-20T00:00:00,XACPX,Fixed Income - Taxable-Senior Loans,28.6,371.673,,Monthly,0.20225,0.1,20,7.8363,,,4.56,,507.005,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-2.63,-2.68,1.5,2.73,2.6,6.05,,,20.44,3206570,,,94.6703,,4.1,2.92,6.70011,-2.3553,1.59,2.04,2.67,2024-06-20T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2024-06-21T00:00:00
8,JEQ,-16.91,7,8.42,0.12,14.43,1,Morningstar US CEF Asia Equity,1,abrdn Inc.,TRUE,5.7,-0.01,6.86,2024-06-20T00:00:00,00306J109,abrdn Japan Equity Fund,2024-06-20T00:00:00,XJEQX,Equity-Asia Equity,9.56,78.935,,Quarterly,0.01775,0.12,10,,,,1.27,,105.036,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,-3.6,-3.4,4.43,4.9,7.23,7.64,,,15.23,289530,,,,,,,5.77842,-15.28807,-1.18,-0.88,-1.33,2024-06-20T00:00:00,1992-07-24T00:00:00,7/24/1992,711936000,2024-05-22T00:00:00
9,VFL,-13.54,4.46,5.16,0.045,5.08,21,Morningstar US CEF Municipal,1,abrdn Inc.,TRUE,10.47,-0.05,12.11,2024-06-20T00:00:00,24610T108,abrdn National Municipal Income Fund,2024-06-20T00:00:00,XVFLX,Fixed Income - Municipal-Municipal,39.97,128.551,,Monthly,0.23791,0.045,15,4.7935,,,4.11,,247.687,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-4.75,-5.94,-0.51,-1.05,-2.39,-0.37,,,3.59,363530,,,92.1362,,18.47,10.91,9.76609,-15.24547,1.49,1.24,1.64,2024-06-20T00:00:00,1993-02-26T00:00:00,2/26/1993,730684800,2024-06-21T00:00:00
