,Ticker,Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,CategoryName,SponsorId,SponsorName,IsManagedDistribution,Price,PriceChange,NAV,NAVPublished,Cusip,Name,LastUpdated,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-10.14,11.15,12.41,0.0275,6.16,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,2.66,-0.04,2.96,2024-06-14T00:00:00,3009107,abrdn Asia-Pacific Income Fund Inc,2024-06-14T00:00:00,XFAPX,Fixed Income - Taxable-Global Income,34.78,658.871,,Monthly,0.08349,0.0275,10,6.4623,,,3.33,,1124.179,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-5.93,-4.94,-1.15,1.32,-0.71,2.96,,,9.97,7974680,,,,,,,2.64855,-12.01956,1.05,0.43,0.71,2024-06-14T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2024-05-22T00:00:00
1,IAF,-10.71,10.08,11.29,0.12,15.18,9,Morningstar US CEF Single Country Equity,1,abrdn Inc.,TRUE,4.25,0,4.76,2024-06-14T00:00:00,3011103,abrdn Australia Equity Fund Inc,2024-06-14T00:00:00,XIAFX,Equity-Single-Country Equity,6.97,113.123,,Quarterly,0.04579,0.12,10.125,,,,2.03,,136.195,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.19,-2.53,7.65,7.56,0.72,2.66,,,15.29,640890,,,,,,,4.16283,-11.60231,0.55,0.25,0.88,2024-06-14T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2024-05-22T00:00:00
2,AEF,-13.7,6.53,7.56,0.1,10.09,4,Morningstar US CEF Emerging Market Equity,1,abrdn Inc.,TRUE,5.29,0.03,6.13,2024-06-14T00:00:00,00301W105,abrdn Emerging Markets Equity Inc,2024-06-14T00:00:00,XAEFX,Equity-Emerging Market Equity,10.11,268.477,,Quarterly,-0.00055,0.1,15,,,,2.14,,346.108,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-10.17,-10.27,0.05,-0.39,2.36,2.4,,,10.99,801050,,,,,,,5.02534,-14.77208,1.16,1.7,1.69,2024-06-14T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2024-03-20T00:00:00
3,AGD,-13.47,6.96,8.04,0.065,13.96,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,9.7,-0.07,11.21,2024-06-14T00:00:00,00302M106,abrdn Global Dynamic Dividend,2024-06-14T00:00:00,XAGDX,Equity-Global Equity,0.55,241.191,,Monthly,0.30543,0.065,20,,,,1.19,,280.274,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,1.71,0.16,9.32,9.82,4.94,5.7,,,13.77,603810,,,,,,,9.29177,-14.24493,0.97,1.83,1.98,2024-06-14T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2024-05-22T00:00:00
4,FCO,57.53,22.58,14.33,0.07,14.35,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,5.86,-0.03,3.72,2024-06-14T00:00:00,3013109,"abrdn Global Income Fund, Inc.",2024-06-14T00:00:00,XFCOX,Fixed Income - Taxable-Global Income,28.97,78.584,,Monthly,0.09311,0.07,15,6.6047,,,4.53,,70.236,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-1.21,-1.28,1.23,6.61,2.87,-8.96,,,21.4,633430,,,,,,,5.79906,48.14997,1.06,1.68,1.43,2024-06-14T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2024-05-22T00:00:00
5,ASGI,-7.57,12.54,13.57,0.21,12.97,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,18.57,-0.22,20.09,2024-06-14T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2024-06-14T00:00:00,XAGIX,Fixed Income - Taxable-Global Income,0,468.087,,Monthly,0.05707,0.21,20,,,,1.65,,506.401,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,3.84,4.34,,,4.3,9.36,,,21.5,704970,,,,,,,17.40972,-14.09132,3.46,2.09,2.84,2024-06-14T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2024-05-22T00:00:00
6,AWP,-2.07,12.44,12.7,0.04,7.48,7,Morningstar US CEF Real Estate,1,abrdn Inc.,TRUE,3.78,-0.01,3.86,2024-06-14T00:00:00,00302L108,abrdn Global Premier Properties,2024-06-14T00:00:00,XAWPX,Equity-Real Estate,19.49,322.842,,Monthly,0.02592,0.04,20,,,,2.22,,409.485,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-7.68,-7.77,-1.33,0.8,-5.11,1.93,,,14.84,3161450,,,,,,,3.76931,-6.09744,1.57,0.99,1.48,2024-06-14T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2024-05-22T00:00:00
7,ACP,0.3,17.8,17.75,0.1,16.98,19,Morningstar US CEF Senior Loans,1,abrdn Inc.,TRUE,6.76,-0.05,6.74,2024-06-14T00:00:00,3057106,abrdn Income Credit Strategies Fund,2024-06-14T00:00:00,XACPX,Fixed Income - Taxable-Senior Loans,28.6,363.079,,Monthly,0.20225,0.1,20,7.8363,,,4.56,,507.005,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-2.63,-2.68,1.5,2.73,2.6,6.05,,,20.44,3187950,,,94.6703,,4.1,2.92,6.70046,-2.41859,0.88,0.92,1.52,2024-06-14T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2024-05-22T00:00:00
8,JEQ,-17.1,6.9,8.32,0.12,14.43,1,Morningstar US CEF Asia Equity,1,abrdn Inc.,TRUE,5.77,-0.02,6.96,2024-06-14T00:00:00,00306J109,abrdn Japan Equity Fund,2024-06-14T00:00:00,XJEQX,Equity-Asia Equity,9.43,79.905,,Quarterly,0.01775,0.12,10,,,,1.27,,106.421,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,-3.6,-3.4,4.43,4.9,7.23,7.64,,,15.23,286030,,,,,,,5.78518,-15.2266,-1.36,-1.36,-1.73,2024-06-14T00:00:00,1992-07-24T00:00:00,7/24/1992,711936000,2024-05-22T00:00:00
9,VFL,-13.24,4.46,5.14,0.045,5.08,21,Morningstar US CEF Municipal,1,abrdn Inc.,TRUE,10.515,0.08,12.12,2024-06-14T00:00:00,24610T108,abrdn National Municipal Income Fund,2024-06-14T00:00:00,XVFLX,Fixed Income - Municipal-Municipal,39.95,129.103,,Monthly,0.23791,0.045,15,4.7935,,,4.11,,247.809,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-4.75,-5.94,-0.51,-1.05,-2.39,-0.37,,,3.59,363510,,,92.1362,,18.47,10.91,9.75738,-15.276,1.82,1.91,2.28,2024-06-14T00:00:00,1993-02-26T00:00:00,2/26/1993,730684800,2024-05-22T00:00:00
10,AOD,-14.11,7.11,8.27,0.0575,13.86,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,8.34,-0.03,9.71,2024-06-14T00:00:00,00326L100,abrdn Total Dynamic Dividend,2024-06-14T00:00:00,XAODX,Equity-Global Equity,4.57,879.295,,Monthly,-0.14805,0.0575,20,,,,1.19,,1072.787,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,2.44,1.29,9.41,9.63,4.77,5.66,,,13.02,2899210,,,,,,,7.98767,-14.77535,0.78,2.07,2.44,2024-06-14T00:00:00,2007-01-26T00:00:00,1/26/2007,1169769600,2024-05-22T00:00:00
11,ADX,-9.67,0.85,0.94,0.05,29.73,10,Morningstar US CEF US Equity,2,Adams Diversified Equity Fund Inc,FALSE,21.3,0.13,23.58,2024-06-14T00:00:00,6212104,Adams Diversified Equity Fund,2024-06-14T00:00:00,XADEX,Equity-U.S. Equity,0,2642.301,,Quarterly,0.09431,0.05,10,,,,0.61,,2925.139,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,9.29,12.23,15.04,16.91,11.83,16.01,,,39.79,1655750,,,,,,,17.98462,-14.18236,3.98,2.21,3.14,2024-06-14T00:00:00,1929-10-01T00:00:00,10/1/1929,-1270252800,2024-05-16T00:00:00
12,PEO,-13.19,1.53,1.76,0.1,25.43,8,Morningstar US CEF Sector Equity,3,Adams Natural Resources Fund Inc,FALSE,22.7,-0.13,26.15,2024-06-14T00:00:00,00548F105,Adams Natural Resources Fund,2024-06-14T00:00:00,XPEOX,Equity-Sector Equity,0.7,578.986,,Quarterly,0.33021,0.1,15,,,,0.64,,666.982,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,21.1,21.79,14.83,16.52,11.68,15.63,,,29.86,403680,,,,,,,21.96323,-15.6605,2.23,1.95,2.68,2024-06-14T00:00:00,1929-01-30T00:00:00,1/30/1929,-1291334400,2024-05-16T00:00:00
13,AVK,-1,11.7,11.82,0.1172,13,11,Morningstar US CEF Convertibles,56,Guggenheim Investments Asset Management,FALSE,11.9,-0.23,12.02,2024-06-14T00:00:00,00764C109,Advent Convertible & Income Fund,2024-06-14T00:00:00,XAVKX,Fixed Income - Taxable-Convertibles,45.63,411.666,,Monthly,0.20615,0.1172,25,4.0313,,,5.73,,764.839,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,-4.42,-3.17,5.68,8.57,0.39,9.99,,,22.3,1106400,,,99.8507,,,,11.30939,-7.16076,1.86,1.41,1.48,2024-06-14T00:00:00,2003-04-29T00:00:00,4/29/2003,1051574400,2024-06-14T00:00:00
14,AWF,-4.51,7.09,7.43,0.0655,14.16,14,Morningstar US CEF High Yield,4,AllianceBernstein L.P.,FALSE,10.58,-0.09,11.08,2024-06-14T00:00:00,01879R106,AllianceBernstein Global High Income,2024-06-14T00:00:00,XAWFX,Fixed Income - Taxable-High Yield,1.3,912.31,,Monthly,0.39081,0.0655,15,6.6963,,5.92,1.05,,967.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,2.17,3.71,3.89,6.21,2.26,8.91,,,20.21,1825480,,,93.2106,,,,10.07614,-7.04472,1.59,0.57,1.05,2024-06-14T00:00:00,1993-07-28T00:00:00,7/28/1993,743817600,2024-05-02T00:00:00
