,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,IFN,-0.0951,13.01084,14.37788,0.38999999999999996,-16.57,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,10.85,0.05,11.99,2026-06-11T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-06-11,XIFNX,Equity-Asia Equity,0.28,462.774,,Quarterly,-0.05353,0.38999999999999996,15.0,,,,1.36,,511.397,True,False,False,False,True,False,,4.25,2.58,1.87,2.63,-12.64,-12.25,,,-19.68,1957210,,,,,,,13.93525,-5.51484,-2.3,-1.96,-1.8900000000000001,2026-06-11T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
1,MFM,-0.08800000000000001,5.9800699999999996,6.55738,0.03,9.36,21,Morningstar US CEF Municipal,2,abrdn Inc.,False,5.49,0.05,6.02,2026-06-11T00:00:00,552738106,Aberdeen Municipal Income,2026-06-11,XMFMX,Fixed Income - Municipal-Municipal,17.37,419.468,,Monthly,0.13056,0.03,10.0,5.1532,,,2.83,,556.663,True,True,True,False,False,False,,5.09,7.04,-0.3,-1.18,2.37,2.04,,,11.73,1264510,19.0,,96.6202,,12.56,9.02,5.34317,-9.78411,1.1,0.99,0.62,2026-06-11T00:00:00,1986-11-25T00:00:00,11/25/1986,533260800,2026-05-19T00:00:00
2,FAX,-0.0626,12.91585,13.77871,0.16499999999999998,5.14,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.37,0.21,15.33,2026-06-11T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-06-11,XFAPX,Fixed Income - Taxable-Global Income,39.81,627.556,,Monthly,0.50096,0.16499999999999998,10.0,6.4069,,,4.22,,1112.281,True,False,False,False,True,False,,5.77,9.71,-1.48,0.63,-0.29,2.24,,,8.3,1792150,,,,,7.54,4.71,15.541,-5.14272,-0.6,-0.56,-0.5,2026-06-11T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-05-22T00:00:00
3,IAF,-0.12369999999999999,10.30043,11.7551,0.36,8.37,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.25,0.17,13.98,2026-06-11T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-06-11,XIAFX,Equity-Single-Country Equity,6.83,117.384,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,143.781,True,False,False,False,True,False,,11.65,13.59,5.22,3.31,4.61,5.0,,,10.91,218750,,,,,,,13.248850000000001,-9.92319,-1.77,-1.49,-1.5899999999999999,2026-06-11T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
4,AEF,-0.1016,8.73694,9.72516,0.22999999999999998,90.35,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,9.46,0.52,10.53,2026-06-11T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-06-11,XAEFX,Equity-Emerging Market Equity,5.94,384.089,,Quarterly,0.00111,0.22999999999999998,15.0,,,,1.8599999999999999,,454.533,True,True,False,False,True,False,,32.73,37.11,9.02,10.91,44.87,44.77,,,102.6,1501810,,,,,,,7.26617,-9.61722,-0.36,-0.49,-0.76,2026-06-11T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-03-24T00:00:00
5,AGD,-0.006500000000000001,11.78396,11.86161,0.12,28.0,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.14,0.09,12.22,2026-06-11T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-06-11,XAGDX,Equity-Global Equity,1.55,317.082,,Monthly,0.41014,0.12,20.0,,,,1.29,,324.197,True,True,False,False,True,False,,16.34,23.87,7.77,10.92,11.55,12.88,,,36.37,1228110,,,,,,,11.89762,1.8763200000000002,-0.5700000000000001,-0.34,-0.71,2026-06-11T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-05-21T00:00:00
6,ASGI,-0.0009,12.30495,12.31593,0.22999999999999998,19.79,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,22.41,0.25,22.43,2026-06-11T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-06-11,XAGIX,Fixed Income - Taxable-Global Income,0.8200000000000001,708.655,,Monthly,0.08558,0.22999999999999998,20.0,,,,2.16,,715.126,True,True,False,False,True,False,,14.87,26.04,8.48,13.36,9.81,13.29,,,39.72,1739040,,,,,,,22.09632,1.40432,-0.44,-1.21,-1.31,2026-06-11T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-05-21T00:00:00
7,AWP,0.0009,12.36052,12.34991,0.12,13.29,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,11.66,0.11,11.65,2026-06-11T00:00:00,00302L207,abrdn Global Premier Properties,2026-06-11,XAWPX,Equity-Real Estate,7.95,357.141,,Monthly,0.02621,0.12,20.0,,,,2.27,,387.636,True,False,False,False,True,False,,10.86,15.1,-0.05,0.8200000000000001,8.17,6.92,,,11.76,1193080,,,,,,,11.77093,1.45532,-1.15,-0.24,-0.68,2026-06-11T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-05-21T00:00:00
8,HQH,-0.0621,12.0197,12.81513,0.61,43.6,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,19.04,0.27,20.3,2026-06-11T00:00:00,87911J103,abrdn Healthcare Investors,2026-06-11,XHQHX,Equity-Sector Equity,1.1,1088.94,,Quarterly,-0.06102,0.61,10.0,,,,1.11,,1161.002,True,True,True,False,True,False,,14.33,19.85,6.91,6.97,7.36,12.3,,,48.53,1766310,,,,,,,18.19594,-7.86248,0.81,0.03,0.35000000000000003,2026-06-11T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-05-21T00:00:00
9,THQ,0.04190000000000001,12.05357,11.56936,0.18,13.51,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,18.67,0.14,17.92,2026-06-11T00:00:00,879105104,abrdn Healthcare Opportunities Fund,2026-06-11,XTHQX,Equity-Sector Equity,23.25,774.022,,Monthly,-0.03549,0.18,20.0,4.2456,,,3.02,,967.929,True,True,True,False,True,False,,5.21,11.83,2.93,4.38,-2.01,2.65,,,15.25,1831270,,,,,7.72,,18.09875,-0.5445300000000001,1.54,1.3599999999999999,1.3900000000000001,2026-06-11T00:00:00,2014-07-28T00:00:00,7/28/2014,1406505600,2026-05-21T00:00:00
