,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,IFN,-0.0443,15.03759,15.73427,0.44999999999999996,1.48,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.44,0.09,11.97,2026-03-23T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-03-23,XIFNX,Equity-Asia Equity,0.28,476.543,,Quarterly,-0.05571,0.44999999999999996,15.0,,,,1.36,,504.674,True,False,True,False,True,False,,8.99,8.63,4.89,7.13,-5.29,0.29,,,6.5600000000000005,1915760,,,,,,,14.89425,-5.43334,0.51,-0.43,0.22,2026-03-23T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-02-20T00:00:00
1,FAX,-0.0567,12.603439999999999,13.36032,0.16499999999999998,12.37,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.82,0.1,15.71,2026-03-23T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-03-23,XFAPX,Fixed Income - Taxable-Global Income,39.57,607.68,,Monthly,0.50096,0.16499999999999998,10.0,6.4653,,,4.22,,1076.614,True,False,False,False,True,False,,7.54,12.17,-0.41000000000000003,1.9,4.06,6.76,,,16.66,1693520,,,,,7.87,4.74,15.69531,-5.45902,-0.1,-0.23,0.18,2026-03-23T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-03-24T00:00:00
2,IAF,-0.1189,10.57269,12.0,0.36,22.81,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.0,0.05,13.62,2026-03-23T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-03-23,XIAFX,Equity-Single-Country Equity,7.08,112.233,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,138.77,True,False,False,False,True,False,,12.3,11.47,7.89,7.46,10.6,9.79,,,25.36,202860,,,,,,,13.20898,-9.88597,-1.45,-2.32,-2.01,2026-03-23T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-02-20T00:00:00
3,AEF,-0.1033,9.85915,10.99476,0.21,74.66,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,7.64,0.18,8.52,2026-03-23T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-03-23,XAEFX,Equity-Emerging Market Equity,7.15,302.887,,Quarterly,0.00111,0.21,15.0,,,,1.8599999999999999,,377.796,True,True,True,False,True,False,,26.17,30.19,6.23,8.45,23.2,24.43,,,89.06,1465700,,,,,,,6.45566,-10.4831,0.09,-1.1,-0.63,2026-03-23T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-03-24T00:00:00
4,AGD,0.0104,12.53264,12.4031,0.12,24.75,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,11.61,0.19,11.49,2026-03-23T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-03-23,XAGDX,Equity-Global Equity,1.75,284.154,,Monthly,0.41014,0.12,20.0,,,,1.29,,286.94,True,True,True,False,True,False,,15.05,21.55,9.07,12.87,7.35,8.82,,,35.85,1272750,,,,,,,11.44257,0.56506,0.09,-0.59,-0.26,2026-03-23T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-03-24T00:00:00
5,FCO,0.1577,30.10753,26.00619,0.06999999999999999,14.05,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,3.23,0.01,2.79,2026-03-23T00:00:00,003013109,"abrdn Global Income Fund, Inc.",2026-03-23,XFCOX,Fixed Income - Taxable-Global Income,30.96,43.394,,Monthly,0.10196000000000001,0.06999999999999999,15.0,6.7676,,,4.85,,54.265,True,False,False,False,True,False,,12.13,-0.8,3.62,-2.35,3.08,16.97,,,-32.85,1181620,,,,,7.24,5.31,4.58245,48.7869,-0.66,1.75,2.35,2026-03-23T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2026-03-24T00:00:00
6,ASGI,0.0134,12.30495,12.14254,0.22999999999999998,35.0,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,22.73,-0.07,22.43,2026-03-23T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-03-23,XAGIX,Fixed Income - Taxable-Global Income,0.8200000000000001,720.988,,Monthly,0.2218,0.22999999999999998,20.0,,,,2.16,,708.169,True,True,True,False,True,False,,15.87,26.04,11.53,16.4,11.96,15.33,,,58.69,1769440,,,,,,,21.05582,-1.15867,0.53,-0.88,-0.27,2026-03-23T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-03-24T00:00:00
7,AWP,0.0134,12.83422,12.66491,0.12,18.44,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,11.37,-0.04,11.22,2026-03-23T00:00:00,00302L207,abrdn Global Premier Properties,2026-03-23,XAWPX,Equity-Real Estate,8.14,341.606,,Monthly,0.02621,0.12,20.0,,,,2.27,,378.396,True,False,False,False,True,False,,10.21,12.99,3.13,5.79,12.09,11.26,,,18.56,1139070,,,,,,,11.72867,1.79115,-0.41000000000000003,0.03,-0.14,2026-03-23T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-03-24T00:00:00
8,HQH,-0.08689999999999999,12.96296,14.19718,0.63,21.77,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,17.75,0.06,19.44,2026-03-23T00:00:00,87911J103,abrdn Healthcare Investors,2026-03-23,XHQHX,Equity-Sector Equity,1.1,1011.732,,Quarterly,-0.04542,0.63,10.0,,,,1.11,,1102.667,True,True,False,False,True,False,,12.61,15.13,5.17,5.46,1.62,4.33,,,26.38,1937240,,,,,,,17.37483,-8.4658,-0.14,-0.58,-0.12,2026-03-23T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-02-20T00:00:00
9,THQ,-0.0063,5.96548,6.00347,0.08639999999999999,0.61,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,17.27,0.07,17.38,2026-03-23T00:00:00,879105104,abrdn Healthcare Opportunities Fund,2026-03-23,XTHQX,Equity-Sector Equity,23.9,712.725,,Monthly,-0.04983,0.08639999999999999,20.0,4.0352,,,3.02,,941.454,True,False,False,False,True,False,,6.44,11.56,5.21,7.36,0.48,2.8200000000000003,,,3.4,1860150,,,,,7.72,,18.28222,-0.5070800000000001,-0.04,-1.58,-0.02,2026-03-23T00:00:00,2014-07-28T00:00:00,7/28/2014,1406505600,2026-03-24T00:00:00
