,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-07-17,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.88,6.9,-0.1478
1,2023-07-17,IFN,The India Fund Inc,Equity-Asia Equity,16.92,16.99,-0.0041
2,2023-07-17,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.28,8.72,-0.16510000000000002
3,2023-07-17,IIF,Morgan Stanley India Investment,Equity-Asia Equity,22.22,27.3,-0.1861
4,2023-07-17,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.77,15.92,-0.1979
5,2023-07-17,TDF,Templeton Dragon,Equity-Asia Equity,9.34,11.02,-0.1525
6,2023-07-17,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,6.27,7.25,-0.1352
7,2023-07-17,TWN,Taiwan Fund,Equity-Asia Equity,33.79,41.19,-0.19079999999999997
8,2023-07-17,KF,Korea Fund,Equity-Asia Equity,23.83,28.09,-0.15560000000000002
9,2023-07-17,CHN,China Fund,Equity-Asia Equity,11.36,13.5,-0.15039999999999998
10,2023-07-17,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,15.21,15.46,-0.016200000000000003
11,2023-07-17,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,8.49,8.78,-0.0319
12,2023-07-17,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,11.24,11.46,-0.0209
13,2023-07-17,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.67,19.69,-0.0533
14,2023-07-17,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,30.79,28.62,0.0758
15,2023-07-17,BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,10.13,11.66,-0.13119999999999998
16,2023-07-17,BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,8.28,8.86,-0.0655
17,2023-07-17,BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,5.49,6.28,-0.1258
18,2023-07-17,CII,BlackRock Enhanced Capital and Income,Equity-Covered-Call Funds,18.76,19.32,-0.028999999999999998
19,2023-07-17,MCN,Madison Covered Call &amp; Eq Strat,Equity-Covered-Call Funds,7.53,7.28,0.034300000000000004
20,2023-07-17,FFA,First Trust Enhanced Equity Income,Equity-Covered-Call Funds,17.82,18.3,-0.0262
21,2023-07-17,GNT,"GAMCO Natural Resources, Gold &amp; Inc Tr",Equity-Covered-Call Funds,5.13,6.19,-0.17120000000000002
22,2023-07-17,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,Equity-Covered-Call Funds,25.1,24.64,0.012199999999999999
23,2023-07-17,BXMX,Nuveen S&amp;P 500 Buy-Write Income,Equity-Covered-Call Funds,13.56,13.86,-0.0231
24,2023-07-17,SPXX,Nuveen S&amp;P 500 Dynamic Overwrite,Equity-Covered-Call Funds,15.8,16.4,-0.0401
25,2023-07-17,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.79,16.72,0.0006
26,2023-07-17,EOS,Eaton Vance Enhanced Equity Income II,Equity-Covered-Call Funds,18.46,18.97,-0.0315
27,2023-07-17,ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Equity-Covered-Call Funds,12.55,12.53,-0.0008
28,2023-07-17,ETB,Eaton Vance Tax-Managed Buy-Write Income,Equity-Covered-Call Funds,13.91,14.34,-0.0313
29,2023-07-17,ETV,Eaton Vance Tax-Managed Buy-Write Opp,Equity-Covered-Call Funds,13.3,13.35,-0.0052
30,2023-07-17,ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Equity-Covered-Call Funds,8.38,9.17,-0.08710000000000001
31,2023-07-17,EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Equity-Covered-Call Funds,8.01,8.84,-0.0929
32,2023-07-17,ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Equity-Covered-Call Funds,8.35,8.61,-0.032400000000000005
33,2023-07-17,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,14.14,15.8,-0.1082
34,2023-07-17,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.42,9.7,-0.134
35,2023-07-17,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.13,5.82,-0.1186
