,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,MGF,-0.0629,7.94702,8.48057,0.02,2.5,15,Morningstar US CEF Investment Grade,2,abrdn Inc.,True,2.83,-0.03,3.02,2026-07-22T00:00:00,552939100,Aberdeen Government Markets Income,2026-07-22,XMGFX,Fixed Income - Taxable-Investment Grade,,92.23,,Monthly,0.052700000000000004,0.02,10.0,3.6793,0.0,6.46,0.8,,98.422,False,False,False,True,True,False,,3.42,3.95,-0.43,-1.12,0.11,-1.4100000000000001,,,-0.77,728700,,0.0,,,,,2.99573,-4.56829,-1.18,0.12,-0.5700000000000001,2026-07-22T00:00:00,1987-05-28T00:00:00,5/28/1987,549158400,2026-07-23T00:00:00
1,IFN,-0.0947,12.4105,13.70826,0.38999999999999996,-15.27,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.38,-0.03,12.57,2026-07-22T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-07-22,XIFNX,Equity-Asia Equity,0.28,485.379,,Quarterly,-0.05353,0.38999999999999996,15.0,,,,1.36,,536.135,True,False,False,False,True,False,,3.7199999999999998,1.3,2.35,2.79,-9.34,-8.44,,,-16.99,2086190,,,,,,,13.419,-5.89089,-1.81,-1.19,-1.4,2026-07-22T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
2,MIN,-0.061500000000000006,9.23077,9.83607,0.02,2.99,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,2.44,-0.02,2.6,2026-07-22T00:00:00,55273C107,Aberdeen Intermediate Income,2026-07-22,XMINX,Fixed Income - Taxable-Global Income,,277.668,,Monthly,0.04255,0.02,10.0,3.8992,0.0,3.25,0.73,,295.875,False,False,False,True,True,False,,4.79,5.63,1.21,0.6900000000000001,0.52,-0.97,,,-0.37,2313680,,0.0,,,,,2.57463,-4.43647,-0.79,0.85,0.05,2026-07-22T00:00:00,1988-03-17T00:00:00,3/17/1988,574560000,2026-07-23T00:00:00
3,MMT,-0.0928,9.89691,10.90909,0.04,5.13,13,Morningstar US CEF Global Income,72,MFS,True,4.4,-0.03,4.85,2026-07-22T00:00:00,552737108,Aberdeen Multi-Market Income,2026-07-22,XMMTX,Fixed Income - Taxable-Global Income,26.71,510.371,,Monthly,0.1389,0.04,10.0,5.7477,0.060000000000000005,6.94,2.86,,767.568,True,False,False,True,True,False,,7.9,8.18,3.05,1.63,0.81,-1.16,,,2.08,1135930,,0.0,97.583,,6.83,,4.63516,-7.45552,-1.83,-0.81,-1.31,2026-07-22T00:00:00,1987-03-12T00:00:00,3/12/1987,542505600,2026-07-23T00:00:00
4,MFM,-0.0738,6.04027,6.52174,0.03,10.16,21,Morningstar US CEF Municipal,2,abrdn Inc.,False,5.52,-0.01,5.96,2026-07-22T00:00:00,552738106,Aberdeen Municipal Income,2026-07-22,XMFMX,Fixed Income - Municipal-Municipal,37.23,548.852,,Monthly,0.13078,0.03,10.0,5.1531,17.81,21.01,2.83,,944.102,True,True,True,True,False,False,,5.33,8.48,-0.2,-0.12,4.08,6.38,,,14.82,1307830,19.0,0.13,96.8921,,12.56,8.9,5.3893,-9.49336,2.08,1.31,1.53,2026-07-22T00:00:00,1986-11-25T00:00:00,11/25/1986,533260800,2026-07-23T00:00:00
5,FAX,-0.0258,13.07794,13.42373,0.16499999999999998,2.59,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.75,0.03,15.14,2026-07-22T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-07-22,XFAPX,Fixed Income - Taxable-Global Income,39.56,644.152,,Monthly,0.50096,0.16499999999999998,10.0,6.3746,,,4.22,,1093.983,True,False,True,False,True,False,,4.84,9.79,-1.46,-0.03,-1.09,2.37,,,5.01,1798690,,,,,7.8100000000000005,4.73,15.38123,-5.18089,1.38,2.36,2.18,2026-07-22T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-07-23T00:00:00
6,IAF,-0.1137,10.16949,11.4741,0.36,1.94,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.55,-0.04,14.16,2026-07-22T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-07-22,XIAFX,Equity-Single-Country Equity,7.36,120.259,,Quarterly,0.10818,0.36,10.125,,,,1.9900000000000002,,146.471,True,False,False,False,True,False,,9.32,10.12,4.4,2.02,2.47,1.08,,,2.95,220800,,,,,,,13.14242,-9.95742,-1.0,-0.72,-0.71,2026-07-22T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
7,AEF,-0.10460000000000001,9.25553,10.33708,0.22999999999999998,76.87,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,8.9,0.01,9.94,2026-07-22T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-07-22,XAEFX,Equity-Emerging Market Equity,6.27,361.353,,Quarterly,0.00111,0.22999999999999998,15.0,,,,1.8599999999999999,,430.578,True,True,False,False,True,False,,31.14,34.4,9.01,10.2,46.44,44.52,,,79.38,1472710,,,,,,,7.65075,-9.45843,-0.72,-0.92,-0.8,2026-07-22T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-06-23T00:00:00
8,AGD,0.0074,11.891,11.80328,0.12,21.15,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.2,0.13,12.11,2026-07-22T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-07-22,XAGDX,Equity-Global Equity,0.6900000000000001,319.327,,Monthly,0.29668,0.12,20.0,,,,1.29,,319.164,True,True,False,False,True,False,,14.04,20.8,7.42,10.29,9.29,10.28,,,23.48,1234710,,,,,,,12.02594,2.07781,-0.31,-0.16,-0.01,2026-07-22T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-07-23T00:00:00
9,ASGI,0.0916,11.80152,10.81081,0.22,17.57,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,24.42,0.17,22.37,2026-07-22T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-07-22,XAGIX,Fixed Income - Taxable-Global Income,0.97,772.376,,Monthly,0.08556,0.22,20.0,,,,2.16,,714.446,True,True,True,False,True,False,,13.41,22.71,8.61,12.22,10.21,10.43,,,28.63,1764440,,,,,,,22.39743,2.23361,2.18,1.67,1.72,2026-07-22T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-07-23T00:00:00
