,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,MGF,-0.0565,7.97342,8.4507,0.02,1.82,15,Morningstar US CEF Investment Grade,2,abrdn Inc.,True,2.84,-0.01,3.01,2026-08-14T00:00:00,552939100,Aberdeen Government Markets Income,2026-08-14,XMGFX,Fixed Income - Taxable-Investment Grade,,92.556,,Monthly,0.04709,0.02,10.0,3.648,0.0,6.55,0.8,,98.096,False,False,False,True,True,False,,3.06,3.14,-0.86,-1.3900000000000001,-1.21,-2.7800000000000002,,,-1.18,721850,,0.0,93.073,,,4.95,2.97828,-4.79012,-0.61,1.19,0.32,2026-08-14T00:00:00,1987-05-28T00:00:00,5/28/1987,549158400,2026-07-23T00:00:00
1,IFN,-0.084,11.41095,12.45791,0.37,-9.02,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.88,0.04,12.97,2026-08-14T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-08-14,XIFNX,Equity-Asia Equity,0.28,506.705,,Quarterly,-0.05353,0.37,15.0,,,,1.36,,553.196,True,False,False,False,True,False,,3.87,0.15,1.99,2.06,-7.33,-8.75,,,-11.55,2068020,,,,,,,13.17149,-6.09366,-1.08,0.05,-0.72,2026-08-14T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
2,MIN,-0.0425,9.26641,9.67742,0.02,2.62,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,2.48,0.02,2.59,2026-08-14T00:00:00,55273C107,Aberdeen Intermediate Income,2026-08-14,XMINX,Fixed Income - Taxable-Global Income,,282.22,,Monthly,0.04255,0.02,10.0,3.9175,0.0,3.24,0.73,,294.737,False,False,True,True,True,False,,4.52,4.16,1.04,0.38,0.14,-2.5700000000000003,,,-1.97,2334640,,0.0,97.8913,,,2.54,2.55844,-4.65746,0.25,2.88,2.03,2026-08-14T00:00:00,1988-03-17T00:00:00,3/17/1988,574560000,2026-07-23T00:00:00
3,MMT,-0.0788,4.97925,5.40541,0.02,2.94,13,Morningstar US CEF Global Income,72,MFS,True,4.44,-0.03,4.82,2026-08-14T00:00:00,552737108,Aberdeen Multi-Market Income,2026-08-14,XMMTX,Fixed Income - Taxable-Global Income,26.83,515.011,,Monthly,0.1389,0.02,10.0,5.9077,0.060000000000000005,6.94,2.86,,764.089,True,False,False,True,True,False,,6.93,6.96,2.68,1.3,-0.63,-2.2800000000000002,,,1.49,1276270,,0.0,97.0375,,6.68,4.91,4.61655,-7.53844,-0.32,1.18,0.26,2026-08-14T00:00:00,1987-03-12T00:00:00,3/12/1987,542505600,2026-07-23T00:00:00
4,MFM,-0.0759,6.07083,6.56934,0.03,9.06,21,Morningstar US CEF Municipal,2,abrdn Inc.,False,5.48,0.06,5.93,2026-08-14T00:00:00,552738106,Aberdeen Municipal Income,2026-08-14,XMFMX,Fixed Income - Municipal-Municipal,37.35,544.875,,Monthly,0.13078,0.03,10.0,5.1253,17.81,21.01,2.83,,941.119,True,True,True,True,False,False,,4.3,5.16,-0.9500000000000001,-1.4,1.34,2.21,,,10.66,1436700,19.0,0.13,98.0793,,12.81,8.63,5.40697,-9.41512,1.77,1.1400000000000001,1.3599999999999999,2026-08-14T00:00:00,1986-11-25T00:00:00,11/25/1986,533260800,2026-07-23T00:00:00
5,FAX,-0.0461,13.02632,13.65517,0.16499999999999998,2.95,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.5,-0.03,15.2,2026-08-14T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-08-14,XFAPX,Fixed Income - Taxable-Global Income,39.47,633.234,,Monthly,0.50096,0.16499999999999998,10.0,6.4288,,,4.22,,1096.604,True,False,True,False,True,False,,4.08,8.64,-1.31,0.15,-1.43,2.06,,,2.39,1804460,,,,,7.68,4.66,15.26931,-5.24423,0.35000000000000003,0.24,0.41000000000000003,2026-08-14T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-07-23T00:00:00
6,IAF,-0.1106,9.44032,10.6141,0.35,6.24,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,13.19,-0.05,14.83,2026-08-14T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-08-14,XIAFX,Equity-Single-Country Equity,7.05,126.391,,Quarterly,0.10818,0.35,10.125,,,,1.9900000000000002,,152.891,True,True,False,False,True,False,,9.49,9.71,5.18,2.86,6.37,4.34,,,6.75,219040,,,,,,,13.10156,-9.98808,-0.74,0.03,-0.23,2026-08-14T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
7,AEF,-0.073,8.95813,9.66387,0.22999999999999998,61.77,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,9.52,0.03,10.27,2026-08-14T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-08-14,XAEFX,Equity-Emerging Market Equity,6.08,386.526,,Quarterly,0.00111,0.22999999999999998,15.0,,,,1.8599999999999999,,443.977,True,True,True,False,True,False,,24.92,28.04,8.06,9.11,33.93,32.17,,,61.34,1463670,,,,,,,7.83464,-9.4475,1.54,2.15,1.19,2026-08-14T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-06-23T00:00:00
8,AGD,0.008100000000000001,11.64107,11.54771,0.12,23.85,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.47,0.09,12.37,2026-08-14T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-08-14,XAGDX,Equity-Global Equity,0.67,326.394,,Monthly,0.29668,0.12,20.0,,,,1.29,,325.97,True,True,False,False,True,False,,13.86,20.4,7.68,10.32,11.5,11.76,,,21.4,1213090,,,,,,,12.08126,1.99972,-0.27,0.23,0.21,2026-08-14T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-07-23T00:00:00
9,ASGI,0.1309,11.95652,10.57269,0.22,18.23,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,24.97,0.28,22.08,2026-08-14T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-08-14,XAGIX,Fixed Income - Taxable-Global Income,0.98,789.772,,Monthly,0.08556,0.22,20.0,,,,2.16,,705.274,True,True,True,False,True,False,,12.73,22.75,8.65,13.33,10.45,14.65,,,26.58,1769320,,,,,,,22.57559,2.79931,2.85,2.02,2.43,2026-08-14T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-07-23T00:00:00
