,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,MGF,-0.0691,7.89474,8.48057,0.02,2.5,15,Morningstar US CEF Investment Grade,2,abrdn Inc.,True,2.83,0.0,3.04,2026-07-20T00:00:00,552939100,Aberdeen Government Markets Income,2026-07-20,XMGFX,Fixed Income - Taxable-Investment Grade,,92.23,,Monthly,0.052700000000000004,0.02,10.0,3.6793,0.0,6.46,0.8,,99.074,False,False,False,True,True,False,,3.42,3.95,-0.43,-1.12,0.11,-1.4100000000000001,,,-0.77,722530,,0.0,,,,,2.9974600000000002,-4.54568,-1.6099999999999999,-0.76,-1.1400000000000001,2026-07-20T00:00:00,1987-05-28T00:00:00,5/28/1987,549158400,2026-06-16T00:00:00
1,IFN,-0.096,12.38095,13.69622,0.38999999999999996,-15.27,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.39,-0.11,12.6,2026-07-20T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-07-20,XIFNX,Equity-Asia Equity,0.28,485.806,,Quarterly,-0.05353,0.38999999999999996,15.0,,,,1.36,,537.415,True,False,False,False,True,False,,3.7199999999999998,1.3,2.35,2.79,-9.34,-8.44,,,-16.99,2080050,,,,,,,13.45421,-5.86258,-1.9300000000000002,-1.37,-1.51,2026-07-20T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
2,MIN,-0.049800000000000004,9.1954,9.67742,0.02,2.99,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,2.48,0.01,2.61,2026-07-20T00:00:00,55273C107,Aberdeen Intermediate Income,2026-07-20,XMINX,Fixed Income - Taxable-Global Income,,282.22,,Monthly,0.04255,0.02,10.0,3.8992,0.0,3.25,0.73,,297.013,False,False,False,True,True,False,,4.79,5.63,1.21,0.6900000000000001,0.52,-0.97,,,-0.37,2318510,,0.0,,,,,2.57609,-4.42023,-0.34,2.15,0.7000000000000001,2026-07-20T00:00:00,1988-03-17T00:00:00,3/17/1988,574560000,2026-06-16T00:00:00
3,MMT,-0.0823,9.87654,10.76233,0.04,5.13,13,Morningstar US CEF Global Income,72,MFS,True,4.46,0.02,4.86,2026-07-20T00:00:00,552737108,Aberdeen Multi-Market Income,2026-07-20,XMMTX,Fixed Income - Taxable-Global Income,26.67,517.331,,Monthly,0.1389,0.04,10.0,5.7477,0.060000000000000005,6.94,2.86,,768.728,True,False,False,True,True,False,,7.9,8.18,3.05,1.63,0.81,-1.16,,,2.08,1105640,,0.0,97.583,,6.83,,4.6368,-7.44629,-0.8,0.42,-0.36,2026-07-20T00:00:00,1987-03-12T00:00:00,3/12/1987,542505600,2026-06-08T00:00:00
4,MFM,-0.0733,6.0,6.47482,0.03,10.16,21,Morningstar US CEF Municipal,2,abrdn Inc.,False,5.5600000000000005,-0.02,6.0,2026-07-20T00:00:00,552738106,Aberdeen Municipal Income,2026-07-20,XMFMX,Fixed Income - Municipal-Municipal,37.07,552.83,,Monthly,0.13078,0.03,10.0,5.1531,17.81,21.01,2.83,,948.079,True,True,True,True,False,False,,5.33,8.48,-0.2,-0.12,4.08,6.38,,,14.82,1306050,19.0,0.13,96.8921,,12.56,8.9,5.3857800000000005,-9.51497,2.18,1.44,1.62,2026-07-20T00:00:00,1986-11-25T00:00:00,11/25/1986,533260800,2026-06-23T00:00:00
5,FAX,-0.0435,13.05208,13.64576,0.16499999999999998,2.59,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.51,0.17,15.17,2026-07-20T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-07-20,XFAPX,Fixed Income - Taxable-Global Income,39.51,633.67,,Monthly,0.50096,0.16499999999999998,10.0,6.3746,,,4.22,,1095.293,True,False,True,False,True,False,,4.84,9.79,-1.46,-0.03,-1.09,2.37,,,5.01,1795670,,,,,7.8100000000000005,4.73,15.39111,-5.19391,0.45,0.93,0.77,2026-07-20T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-06-23T00:00:00
6,IAF,-0.10830000000000001,10.26372,11.51079,0.36,1.94,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.51,0.01,14.03,2026-07-20T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-07-20,XIAFX,Equity-Single-Country Equity,7.43,119.875,,Quarterly,0.10818,0.36,10.125,,,,1.9900000000000002,,145.225,True,False,False,False,True,False,,9.32,10.12,4.4,2.02,2.47,1.08,,,2.95,222140,,,,,,,13.14943,-9.96033,-0.62,-0.01,-0.41000000000000003,2026-07-20T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
7,AEF,-0.1002,9.70464,10.78546,0.22999999999999998,76.87,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,8.53,-0.05,9.48,2026-07-20T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-07-20,XAEFX,Equity-Emerging Market Equity,6.55,346.33,,Quarterly,0.00111,0.22999999999999998,15.0,,,,1.8599999999999999,,411.901,True,True,False,False,True,False,,31.14,34.4,9.01,10.2,46.44,44.52,,,79.38,1482510,,,,,,,7.62885,-9.4548,-0.41000000000000003,-0.6900000000000001,-0.56,2026-07-20T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-06-23T00:00:00
8,AGD,0.015899999999999997,12.04013,11.85185,0.12,21.15,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.15,0.04,11.96,2026-07-20T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-07-20,XAGDX,Equity-Global Equity,0.7000000000000001,318.018,,Monthly,0.29668,0.12,20.0,,,,1.29,,315.238,True,True,False,False,True,False,,14.04,20.8,7.42,10.29,9.29,10.28,,,23.48,1238580,,,,,,,12.02011,2.08176,-0.11,0.67,0.33,2026-07-20T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-06-23T00:00:00
9,ASGI,0.0797,11.88654,11.00917,0.22,17.57,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,23.98,-0.5,22.21,2026-07-20T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-07-20,XAGIX,Fixed Income - Taxable-Global Income,0.97,758.46,,Monthly,0.08556,0.22,20.0,,,,2.16,,709.386,True,True,True,False,True,False,,13.41,22.71,8.61,12.22,10.21,10.43,,,28.63,1768230,,,,,,,22.37149,2.1453699999999998,1.85,1.37,1.4,2026-07-20T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-06-23T00:00:00
