,Ticker,Premium / Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,Category,SponsorId,SponsorName,IsManagedDistribution,Share Price,PriceChange,NAV,NAVPublished,Cusip,Fund Name,Date,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,IFN,-0.0788,12.79737,13.89136,0.38999999999999996,-15.75,1,Morningstar US CEF Asia Equity,1,abrdn Asia Limited,True,11.23,0.04,12.19,2026-05-28T00:00:00,454089103,"Aberdeen India Fund, Inc",2026-05-28,XIFNX,Equity-Asia Equity,0.28,478.981,,Quarterly,-0.05353,0.38999999999999996,15.0,,,,1.36,,519.927,True,False,False,False,True,False,,4.84,4.01,3.24,4.68,-12.32,-9.28,,,-12.5,1913040,,,,,,,14.14456,-5.32047,-1.5899999999999999,-1.52,-1.44,2026-05-28T00:00:00,1994-02-23T00:00:00,2/23/1994,761961600,2026-05-21T00:00:00
1,FAX,-0.041299999999999996,12.7907,13.34232,0.16499999999999998,6.21,13,Morningstar US CEF Global Income,1,abrdn Asia Limited,True,14.84,0.21,15.48,2026-05-28T00:00:00,003009867,abrdn Asia-Pacific Income Fund Inc,2026-05-28,XFAPX,Fixed Income - Taxable-Global Income,39.58,648.082,,Monthly,0.50096,0.16499999999999998,10.0,6.3217,,,4.22,,1118.832,True,False,True,False,True,False,,5.28,10.2,-1.21,0.98,-0.34,2.19,,,10.04,1741480,,,,,7.83,4.71,15.58939,-5.13144,0.53,1.29,1.22,2026-05-28T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2026-05-22T00:00:00
2,IAF,-0.09519999999999999,10.22727,11.30298,0.36,12.66,9,Morningstar US CEF Single Country Equity,1,abrdn Asia Limited,True,12.74,0.23,14.08,2026-05-28T00:00:00,003011111,abrdn Australia Equity Fund Inc,2026-05-28,XIAFX,Equity-Single-Country Equity,6.78,122.079,,Quarterly,0.07433000000000001,0.36,10.125,,,,1.9900000000000002,,144.74,True,False,True,False,True,False,,9.3,11.11,5.02,3.13,3.43,2.65,,,15.24,216980,,,,,,,13.27873,-9.90888,0.29,1.22,0.07,2026-05-28T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2026-05-21T00:00:00
3,AEF,-0.09720000000000001,7.69936,8.52792,0.21,81.18,4,Morningstar US CEF Emerging Market Equity,3,abrdn Investments Limited,True,9.85,0.0,10.91,2026-05-28T00:00:00,00301W105,abrdn Emerging Markets ex-China Fund,2026-05-28,XAEFX,Equity-Emerging Market Equity,5.75,399.924,,Quarterly,0.00111,0.21,15.0,,,,1.8599999999999999,,469.962,True,True,False,False,True,False,,27.42,33.0,7.3,10.31,31.03,34.77,,,97.37,1464040,,,,,,,7.11594,-9.71342,0.0,-0.34,-0.54,2026-05-28T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2026-03-24T00:00:00
4,AGD,0.0171,11.70732,11.51079,0.12,29.56,5,Morningstar US CEF Global Equity,3,abrdn Investments Limited,True,12.51,0.07,12.3,2026-05-28T00:00:00,00302M106,abrdn Global Dynamic Dividend,2026-05-28,XAGDX,Equity-Global Equity,1.54,326.746,,Monthly,0.41014,0.12,20.0,,,,1.29,,326.286,True,True,True,False,True,False,,14.11,21.07,7.76,11.12,8.67,9.38,,,38.11,1218530,,,,,,,11.81985,1.63184,0.02,0.73,0.36,2026-05-28T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2026-05-21T00:00:00
5,ASGI,0.0789,12.30495,11.404959999999999,0.22999999999999998,25.63,13,Morningstar US CEF Global Income,2,abrdn Inc.,True,24.2,-0.01,22.43,2026-05-28T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2026-05-28,XAGIX,Fixed Income - Taxable-Global Income,0.8200000000000001,765.259,,Monthly,0.2218,0.22999999999999998,20.0,,,,2.16,,715.126,True,True,True,False,True,False,,13.6,23.3,9.27,14.15,11.78,11.31,,,43.2,1727900,,,,,,,21.97812,1.07218,1.85,1.44,1.53,2026-05-28T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2026-05-21T00:00:00
6,AWP,0.006900000000000001,12.33933,12.25532,0.12,18.91,7,Morningstar US CEF Real Estate,2,abrdn Inc.,True,11.75,0.05,11.67,2026-05-28T00:00:00,00302L207,abrdn Global Premier Properties,2026-05-28,XAWPX,Equity-Real Estate,7.93,359.897,,Monthly,0.02621,0.12,20.0,,,,2.27,,388.249,True,False,False,False,True,False,,9.67,12.99,0.78,1.87,10.59,8.19,,,16.96,1170510,,,,,,,11.78603,1.53863,-0.74,0.31,-0.31,2026-05-28T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2026-05-21T00:00:00
7,HQH,-0.061200000000000004,11.65791,12.417300000000001,0.61,30.06,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,19.65,0.2,20.93,2026-05-28T00:00:00,87911J103,abrdn Healthcare Investors,2026-05-28,XHQHX,Equity-Sector Equity,1.1,1123.827,,Quarterly,-0.04542,0.61,10.0,,,,1.11,,1197.033,True,True,True,False,True,False,,11.85,17.78,5.48,6.3,3.01,8.15,,,38.74,1778120,,,,,,,18.05709,-7.95986,0.9400000000000001,0.26,0.53,2026-05-28T00:00:00,1987-04-23T00:00:00,4/23/1987,546134400,2026-05-21T00:00:00
8,THQ,0.0356,12.02003,11.60666,0.18,5.84,8,Morningstar US CEF Sector Equity,2,abrdn Inc.,True,18.61,0.31,17.97,2026-05-28T00:00:00,879105104,abrdn Healthcare Opportunities Fund,2026-05-28,XTHQX,Equity-Sector Equity,23.2,771.342,,Monthly,-0.04983,0.18,20.0,4.2456,,,3.02,,969.816,True,True,True,False,True,False,,3.98,10.31,3.15,4.73,-1.85,1.56,,,8.59,1828520,,,,,7.72,,18.10335,-0.55128,1.35,1.25,1.2,2026-05-28T00:00:00,2014-07-28T00:00:00,7/28/2014,1406505600,2026-05-21T00:00:00
9,ACP,-0.030600000000000002,16.72662,17.25417,0.0775,11.15,19,Morningstar US CEF Senior Loans,3,abrdn Investments Limited,True,5.39,0.09,5.56,2026-05-28T00:00:00,003057106,abrdn Income Credit Strategies Fund,2026-05-28,XACPX,Fixed Income - Taxable-Senior Loans,29.16,706.471,,Monthly,0.24096,0.0775,20.0,8.1685,,,3.94,,1028.753,True,False,True,False,True,False,,9.79,10.7,1.75,-0.13,3.36,6.63,,,14.64,5528330,,,98.4994,,4.59,3.14,5.6084700000000005,-4.72359,1.04,1.96,1.42,2026-05-28T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2026-05-21T00:00:00
